label,count,cluster
fireworks banging,1050,1
tap dancing,1050,2
"motorboat, speedboat acceleration",1050,0
playing trombone,1050,2
playing drum kit,1050,2
driving buses,1050,3
"race car, auto racing",1050,3
male singing,1050,2
playing bass guitar,1050,2
"playing violin, fiddle",1050,2
toilet flushing,1050,3
driving motorcycle,1050,3
playing accordion,1050,2
playing didgeridoo,1050,3
playing electric guitar,1050,2
people booing,1050,1
orchestra,1050,2
playing acoustic guitar,1050,2
police car (siren),1050,1
playing cello,1050,2
"railroad car, train wagon",1050,3
"engine accelerating, revving, vroom",1050,0
playing flute,1050,2
"child speech, kid speaking",1050,1
chainsawing trees,1050,0
ambulance siren,1050,1
female singing,1050,2
"playing marimba, xylophone",1050,2
"vehicle horn, car horn, honking",1050,1
playing cymbal,1050,2
"pigeon, dove cooing",1050,1
"female speech, woman speaking",1050,1
basketball bounce,1050,3
playing banjo,1050,2
"bird chirping, tweeting",1050,1
helicopter,1050,3
people crowd,1050,1
singing bowl,1050,2
"male speech, man speaking",1050,1
playing bassoon,1050,2
playing piano,1050,2
chicken crowing,1050,1
playing saxophone,1050,2
"rowboat, canoe, kayak rowing",1050,3
playing harp,1050,2
people burping,1049,1
playing clarinet,1049,2
playing hammond organ,1049,2
playing table tennis,1049,3
playing squash,1049,3
playing tabla,1048,2
playing glockenspiel,1046,3
playing harpsichord,1022,2
frog croaking,1018,1
vacuum cleaner cleaning floors,1009,0
playing theremin,1007,3
slot machine,1000,3
playing badminton,1000,3
"subway, metro, underground",1000,3
beat boxing,998,3
child singing,994,2
crow cawing,993,1
playing volleyball,991,3
car engine knocking,990,0
playing snare drum,987,2
machine gun shooting,986,3
ocean burbling,983,1
skiing,980,3
civil defense siren,979,1
missile launch,974,3
playing erhu,971,3
tractor digging,970,0
bowling impact,969,3
rope skipping,967,0
airplane flyby,964,3
lions roaring,964,1
scuba diving,963,3
yodelling,961,3
playing bagpipes,960,2
police radio chatter,958,1
fire truck siren,958,1
pheasant crowing,937,1
arc welding,934,0
