be5XaOLQygo,0,dog howling,train
be5hFB7NALw,10,people screaming,train
be9brLb54vs,125,child singing,train
be9brLb54vs,149,child singing,train
beGtzorLVOk,30,"bird chirping, tweeting",train
beIel5s3z1g,100,fireworks banging,train
beJq4l_J1aI,1,playing tuning fork,train
beNjYlBrO4w,30,"engine accelerating, revving, vroom",train
beROydSBGSU,50,playing banjo,train
beS-W1NI3Sg,0,helicopter,train
beT-djcyPtQ,126,bouncing on trampoline,train
beV1YmSgnaw,127,opening or closing car doors,train
beWd-QVaHp4,185,playing clarinet,train
beYKx-wJOSQ,35,lathe spinning,train
beYKx-wJOSQ,60,lathe spinning,train
beYaYiFmvz4,2,writing on blackboard with chalk,train
beYaYiFmvz4,70,writing on blackboard with chalk,train
beZy3IQF9sM,90,machine gun shooting,train
be_nZbWrkHQ,60,printer printing,train
bea5I3jhCCQ,80,driving motorcycle,train
beaHUXxN7jk,94,chicken crowing,train
beb6mgkt16g,29,writing on blackboard with chalk,test
bege8UgDdWE,22,gibbon howling,train
bege8UgDdWE,35,gibbon howling,train
behtgkZntMg,30,playing didgeridoo,train
bei2Pve4H2w,30,"engine accelerating, revving, vroom",train
beqpYyULyD4,30,people sniggering,train
betIn2CIoDw,0,basketball bounce,test
betY2k332kI,10,playing banjo,train
bewhF_4lCHc,28,tap dancing,train
bezUdnkWlSs,4,chicken crowing,train
bezUdnkWlSs,10,chicken crowing,train
bf458LxcGlE,7,woodpecker pecking tree,train
bf458LxcGlE,79,woodpecker pecking tree,train
bf4KmAmgEDU,160,skateboarding,train
bf4QQkDPEUk,3,magpie calling,train
bf4QQkDPEUk,38,magpie calling,train
bf551OyAH-Y,30,"cattle, bovinae cowbell",test
bf7kDDca10o,158,singing choir,train
bf7kDDca10o,229,singing choir,train
bf7t0XTqfwc,8,"cattle, bovinae cowbell",train
bf81gVdcgUg,436,running electric fan,test
bf81gVdcgUg,451,running electric fan,test
bf9prVAYH00,132,playing saxophone,train
bf9prVAYH00,149,playing saxophone,train
bfAKZ7CvCaw,9,duck quacking,train
bfAWBjBtCJk,30,female singing,train
bfAimEsQvYE,9,playing bongo,train
bfBcDds9xX4,111,playing ukulele,train
bfBcDds9xX4,729,playing ukulele,train
bfC7vhQ8TCM,130,"playing violin, fiddle",train
bfDeNA5ixKM,12,people giggling,train
bfDeNA5ixKM,42,people giggling,train
